character,sign,node,isImposterBranch,line_id,text
Alkonost,EYE,Alkonost_Eyes,True,line:Alkonost_Eyes_0f5c738,"Alkonost: Yeah, my sister cries a lot, but our eyes are still really similar. Her's are a bit calmer, maybe."
Alkonost,EYE,Alkonost_Eyes,True,line:Alkonost_Eyes_019d944,Alkonost: ...
Alkonost,EYE,Alkonost_Eyes,True,line:Alkonost_Eyes_02cc81b,Alkonost: ...That worries me.
Alkonost,EYE,Alkonost_Eyes,True,line:Alkonost_Eyes_0a454eb,"Alkonost: Yeah, my sister cries a lot, but our eyes are still really similar. They're not red, is what I mean."
Alkonost,EYE,Alkonost_Eyes,True,line:Alkonost_Eyes_0086006,Alkonost: ...
Alkonost,HANDS,Alkonost_Hands,False,line:Alkonost_Hands_0a11ac7,Alkonost: My sister isn't in any shape to take care of herself right now. So my hands are always full.
Alkonost,HANDS,Alkonost_Hands,False,line:Alkonost_Hands_04effe9,Alkonost: ...
Alkonost,TEETH,Alkonost_Teeth,False,line:Alkonost_Teeth_0aedb97,Alkonost: We've always had strong teeth in our family.
Alkonost,TEETH,Alkonost_Teeth,False,line:Alkonost_Teeth_0091081,"Alkonost: Back when I was a teenager, I even tried to open a beer with them."
Alkonost,TEETH,Alkonost_Teeth,False,line:Alkonost_Teeth_0d32053,Alkonost: ...
Alkonost,AURAPHOTO,Alkonost_Photo,False,line:Alkonost_Photo_0718558,"Alkonost: Now, I don't buy into all this flapdoodle aura business."
Alkonost,AURAPHOTO,Alkonost_Photo,False,line:Alkonost_Photo_08cff6b,"Alkonost: Everything we do, everywhere we end up—that's by our own choice. Not any of that hocus-pocus applesauce."
Alkonost,AURAPHOTO,Alkonost_Photo,False,line:Alkonost_Photo_00531bf,Alkonost: ...
Alkonost,ARMPIT,Alkonost_Armpit,True,line:Alkonost_Armpit_0d4f1cb,"Alkonost: I'll show you. But please don't bother my sister, okay? She's too tired for this."
Alkonost,ARMPIT,Alkonost_Armpit,True,line:Alkonost_Armpit_0dcde84,Alkonost: ...
Alkonost,EAR,Alkonost_Ears,False,line:Alkonost_Ears_0152215,Alkonost: Wait... What's the Visitor sign again?
Alkonost,EAR,Alkonost_Ears,False,line:Alkonost_Ears_0d269ae,Alkonost: What are you looking for?
Alkonost,EAR,Alkonost_Ears,False,line:Alkonost_Ears_08a71fa,Alkonost: ...
Alt,EYE,Alt_Eyes,False,line:Alt_Eyes_04f2012,"Alt: Oh, my eyes? I like them almost as much as my tattoos."
Alt,EYE,Alt_Eyes,False,line:Alt_Eyes_0a3dadb,Alt: …
Alt,HANDS,Alt_Hands,False,line:Alt_Hands_039e262,Alt: Got dealt a bad hand with the nails.
Alt,HANDS,Alt_Hands,False,line:Alt_Hands_03a6871,Alt: I called a cab to get to the outskirts in peace.
Alt,HANDS,Alt_Hands,False,line:Alt_Hands_05e1834,Alt: But…
Alt,HANDS,Alt_Hands,False,line:Alt_Hands_0c047e4,Alt: …
Alt,TEETH,Alt_Teeth,True,line:Alt_Teeth_03ad714,"Alt: I'm warning you, I'm a real business shark."
Alt,TEETH,Alt_Teeth,True,line:Alt_Teeth_0bc33cf,Alt: Hahaha.
Alt,TEETH,Alt_Teeth,True,line:Alt_Teeth_06f6feb,Alt: …
Alt,AURAPHOTO,Alt_Photo,False,line:Alt_Photo_0ea467e,"Alt: Oh wow, you've got a camera too."
Alt,AURAPHOTO,Alt_Photo,False,line:Alt_Photo_088b0ef,Alt: …
Alt,ARMPIT,Alt_Armpit,False,line:Alt_Armpit_0b34e96,Alt: I don't mind showing my armpits.
Alt,ARMPIT,Alt_Armpit,False,line:Alt_Armpit_0690e2c,Alt: It's just…not a nice sight.
Alt,ARMPIT,Alt_Armpit,False,line:Alt_Armpit_05ebd27,Alt: …
Alt,EAR,Alt_Ears,False,line:Alt_Ears_03aa796,Alt: Hm. Alright.
Alt,EAR,Alt_Ears,False,line:Alt_Ears_0a0bdbb,Alt: …
Anger,EYE,Anger_Eyes,False,line:Anger_Eyes_070bb2c,"Anger: Whatever. Gaze into ‘em, if that's what you want."
Anger,EYE,Anger_Eyes,False,line:Anger_Eyes_057ecdf,Anger:...
Anger,HANDS,Anger_Hands,True,line:Anger_Hands_091cb31,"Anger: Sure, whatever."
Anger,HANDS,Anger_Hands,True,line:Anger_Hands_094fef5,Anger:...
Anger,TEETH,Anger_Teeth,True,line:Anger_Teeth_0d341e3,Anger: I don't give a fuck. Here.
Anger,TEETH,Anger_Teeth,True,line:Anger_Teeth_0322e01,Anger:...
Anger,AURAPHOTO,Anger_Photo,False,line:Anger_Photo_0566de4,"Anger: Oh yeah, shitlord?"
Anger,AURAPHOTO,Anger_Photo,False,line:Anger_Photo_08e48a2,Anger: ...
Anger,ARMPIT,Anger_Armpit,False,line:Anger_Armpit_0f83332,Anger: I don't give a flying fuck.
Anger,ARMPIT,Anger_Armpit,False,line:Anger_Armpit_0477d77,Anger:...
Anger,EAR,Anger_Ears,False,line:Anger_Ears_06e1895,Anger: Fuck...
Anger,EAR,Anger_Ears,False,line:Anger_Ears_0583a97,Anger: ...
Anxiety,EYE,Anxiety_Eyes,False,line:Anxiety_Eyes_007b2a7,Anxiety: You want to check my eyes?
Anxiety,EYE,Anxiety_Eyes,False,line:Anxiety_Eyes_0977f42,Anxiety: I can already guess what you'll see...
Anxiety,EYE,Anxiety_Eyes,False,line:Anxiety_Eyes_046023f,Anxiety: What happens if I have one of the signs?
Anxiety,EYE,Anxiety_Eyes,False,line:Anxiety_Eyes_0fd0e73,Anxiety: ...
Anxiety,HANDS,Anxiety_Hands,False,line:Anxiety_Hands_0c705b4,Anxiety: Y-You wanna look at my fingernails? That's a weird thing to check...
Anxiety,HANDS,Anxiety_Hands,False,line:Anxiety_Hands_05e6450,Anxiety: But okay... Take a look...
Anxiety,HANDS,Anxiety_Hands,False,line:Anxiety_Hands_06b2d98,Anxiety: ...
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_0cc57a5,Anxiety: W-Wait what—you're gonna make a decision based on my teeth? O-Okay...
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_0b2e7c5,Anxiety: I just had my teeth fixed.
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_06e74da,"Anxiety: Though, if I'm honest..."
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_01800b2,Anxiety: I can't really remember being at the dentist. Was I ever even there?
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_03fb6e0,"Anxiety: God, I'm so nervous, I can't even remember if I ate yesterday."
Anxiety,TEETH,Anxiety_Teeth,False,line:Anxiety_Teeth_0d7c9e9,Anxiety: ...
Anxiety,AURAPHOTO,Anxiety_Photo,False,line:Anxiety_Photo_033880d,Anxiety: I-If it turns out I'm a Visitor...does that mean I'll start killing people?
Anxiety,AURAPHOTO,Anxiety_Photo,False,line:Anxiety_Photo_036a35a,Anxiety: Will I be dangerous? Or...was I always dangerous?
